animals/red-eye_frog_mirko_maisc_01.svg: unknown SVG attribute 'space' (line 4, column 59)
animals/baby-tux_alex_kuehne_01.svg: unknown SVG attribute 'space' (line 4, column 59)
animals/lucchetto_grigio_archite_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/cani_e_gatti_cat_and_do_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/lucchetto_ottone_archite_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/skoynk_peterm_.svg: unknown SVG attribute 'space' (line 67, column 4)
animals/seal_sek_.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/python_odie_mascout_unkn_01.svg: unknown SVG attribute 'space' (line 2, column 27)
animals/crawfish1_bw_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/crawfish2_bw_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/crawfish1_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/crawfish2_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/pinguino_col_piccolo_arc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/rana01_architetto_france_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/rana02_architetto_france_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/rana03_architetto_france_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/tux_head_fco._andrade_01.svg: unknown SVG attribute 'space' (line 113, column 4)
animals/tux_head_fco._andrade_01.svg: unknown SVG attribute 'space' (line 116, column 4)
animals/tatoo_tatuaggio_tatuagg_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/armadillo_architetto_fra_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/python_odie_osvaldo_sant_01.svg: unknown SVG attribute 'space' (line 3, column 27)
animals/birds/baby-tux_alex_kuehne_01.svg: unknown SVG attribute 'space' (line 4, column 59)
animals/birds/rooster_01.svg: unknown SVG attribute 'space' (line 3, column 27)
animals/birds/hen_01.svg: unknown SVG attribute 'space' (line 3, column 27)
animals/birds/owl_on_branch_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/birds/dove_symbol.svg: unknown SVG attribute 'space' (line 2, column 94)
